fid,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,id_2,length,lat_DD,lon_DD,lat_DDM,lon_DDM
"1",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,23.240103,95.988573,23°14.406'N,095°59.314'E
"2",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.743269,95.972454,22°44.596'N,095°58.347'E
"3",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.536651,95.975725,22°32.199'N,095°58.544'E
"4",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.455546,95.975997,22°27.333'N,095°58.560'E
"5",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.423630,95.972162,22°25.418'N,095°58.330'E
"6",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.397006,95.967470,22°23.820'N,095°58.048'E
"7",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.323130,95.969250,22°19.388'N,095°58.155'E
"8",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.189628,95.973365,22°11.378'N,095°58.402'E
"9",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.138877,95.975019,22°08.333'N,095°58.501'E
"10",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.073222,95.978589,22°04.393'N,095°58.715'E
"11",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.062762,95.980101,22°03.766'N,095°58.806'E
"12",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,22.032097,95.982250,22°01.926'N,095°58.935'E
"13",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.979236,95.983791,21°58.754'N,095°59.027'E
"14",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.959156,95.981888,21°57.549'N,095°58.913'E
"15",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.869522,95.985455,21°52.171'N,095°59.127'E
"16",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.707048,95.988257,21°42.423'N,095°59.295'E
"17",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.657843,95.990448,21°39.471'N,095°59.427'E
"18",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.638501,95.985857,21°38.310'N,095°59.151'E
"19",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.537294,95.991913,21°32.238'N,095°59.515'E
"20",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.500550,95.993645,21°30.033'N,095°59.619'E
"21",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.449056,96.000311,21°26.943'N,096°00.019'E
"22",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.358323,96.003891,21°21.499'N,096°00.233'E
"23",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.246382,96.010003,21°14.783'N,096°00.600'E
"24",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.155249,96.016539,21°09.315'N,096°00.992'E
"25",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,21.074761,96.022797,21°04.486'N,096°01.368'E
"26",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.991045,96.028497,20°59.463'N,096°01.710'E
"27",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.896461,96.033559,20°53.788'N,096°02.014'E
"28",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.811065,96.043088,20°48.664'N,096°02.585'E
"29",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.732453,96.047905,20°43.947'N,096°02.874'E
"30",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.635333,96.057299,20°38.120'N,096°03.438'E
"31",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.482555,96.072636,20°28.953'N,096°04.358'E
"32",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.388107,96.083515,20°23.286'N,096°05.011'E
"33",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.270923,96.099039,20°16.255'N,096°05.942'E
"34",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.183829,96.111812,20°11.030'N,096°06.709'E
"35",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,20.112529,96.121663,20°06.752'N,096°07.300'E
"36",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.931440,96.146704,19°55.886'N,096°08.802'E
"37",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.853256,96.153470,19°51.195'N,096°09.208'E
"38",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.813426,96.156105,19°48.806'N,096°09.366'E
"39",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.792824,96.161359,19°47.569'N,096°09.682'E
"40",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.679589,96.177403,19°40.775'N,096°10.644'E
"41",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.629333,96.184276,19°37.760'N,096°11.057'E
"42",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.578233,96.192815,19°34.694'N,096°11.569'E
"43",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.526230,96.203909,19°31.574'N,096°12.235'E
"44",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.431253,96.218620,19°25.875'N,096°13.117'E
"45",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.329357,96.232210,19°19.761'N,096°13.933'E
"46",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.261627,96.243057,19°15.698'N,096°14.583'E
"47",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.236624,96.250845,19°14.197'N,096°15.051'E
"48",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.099048,96.274423,19°05.943'N,096°16.465'E
"49",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,19.060973,96.282431,19°03.658'N,096°16.946'E
"50",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.926477,96.301555,18°55.589'N,096°18.093'E
"51",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.880192,96.307148,18°52.812'N,096°18.429'E
"52",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.828365,96.317476,18°49.702'N,096°19.049'E
"53",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.783279,96.326727,18°46.997'N,096°19.604'E
"54",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.741733,96.336697,18°44.504'N,096°20.202'E
"55",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.629061,96.359195,18°37.744'N,096°21.552'E
"56",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.169425,96.446340,18°10.165'N,096°26.780'E
"57",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,18.027888,96.472114,18°01.673'N,096°28.327'E
"58",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,17.866010,96.485179,17°51.961'N,096°29.111'E
"59",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,17.714316,96.493664,17°42.859'N,096°29.620'E
"60",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,17.448122,96.507131,17°26.887'N,096°30.428'E
"61",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,17.172584,96.517004,17°10.355'N,096°31.020'E
"62",,,,,,,"-1","0","-1",,,"1",560305.000000000000000,16.963872,96.521215,16°57.832'N,096°31.273'E
